# FLEXIBILITY PARAMETER SCAN
# FBA model ../../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution false
# Boolean model ../../../ModelFiles/Boolean/rules.txt, ../../../ModelFiles/Boolean/species.txt
# TF layer ../../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
NADHProduction (MIN)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006119898078121709	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005811962145383915	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006541069359115053	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004863803239713356	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006609579283634047	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005678247515869318	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006199168052162959	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006243524524371894	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006531975015010745	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004875389289383826	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.0066044452702658145	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005686473541402735	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0061191791150099735	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0060743793629030145	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.006562468957374561	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004820889066775858	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.006580580066185159	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0056933308251996394	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006119898078121709	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005783047081122183	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005050689192571256	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004863803239713356	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006831856154528683	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00565769540336291	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006204288500977049	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.02	2	78.29999999999983	99.9999999999986	2.0	0.008441904235288835	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.02	0	0.0	99.9999999999986	0.0	0.005051114733033375	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004893782955159604	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006815669371070177	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005667284087385735	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.006132687610149048	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.04	2	78.39999999999982	99.9999999999986	2.0	0.008190049830384264	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.04	0	0.0	99.9999999999986	0.0	0.005093640365049215	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.04	0	0.0	99.9999999999986	0.0	0.0048766056305638815	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0067821848625275035	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0056768767995016576	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006025163171273998	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005796055186230976	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005050836368380303	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004863803239713356	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.005273342669701917	0.0	0.0	NaN	0.0	0.0	NaN	alive
