# FLEXIBILITY PARAMETER SCAN
# FBA model ../../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution true
# Boolean model ../../../ModelFiles/Boolean/rules.txt, ../../../ModelFiles/Boolean/species.txt
# TF layer ../../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
NADHProduction (MIN)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005678247515869318	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005678247515869318	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005712542167668204	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005680989195346059	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.02	0	0.0	22.50000000000005	0.0	0.0010507332653846145	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.02	0	0.0	22.40000000000005	0.0	0.0010461961732691448	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005690587664816121	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005723527325244922	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005683731203844063	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.05	0.05	0.04	0	0.0	63.40000000000063	0.0	0.0028837649833816886	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MIN)	0.05	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0058322893555979955	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.05	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005704306759118459	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00565769540336291	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00565769540336291	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005715287962750078	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005659064968812142	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.02	0	0.0	22.50000000000005	0.0	0.0010507332653846145	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
