# FLEXIBILITY PARAMETER SCAN
# FBA model ../../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution true
# Boolean model ../../../ModelFiles/Boolean/rules.txt, ../../../ModelFiles/Boolean/species.txt
# TF layer ../../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.02	0	0.0	22.60000000000005	0.0	0.001055270085282725	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005671394756386641	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005729021881678126	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005661804346245394	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.1	0.05	0.04	0	0.0	21.70000000000004	0.0	0.0010144289050025928	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MIN)	0.1	0.05	0.04	0	0.0	21.90000000000004	0.0	0.0010235066288596486	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MAX)	0.1	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.1	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005686473541402735	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005637161779436852	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.15	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.15	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005637161779436852	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.15	0.05	0.02	1	NaN	99.9999999999986	1.0	0.0057166609838568356	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.15	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005639898528329386	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.15	0.05	0.02	0	0.0	13.899999999999967	0.0	0.0006595466555451526	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MIN)	0.15	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.15	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.15	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005650848808589299	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.15	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0057331436644821095	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.15	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005642635605651379	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.15	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.15	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.15	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.15	0.05	0.04	1	NaN	99.9999999999986	1.0	0.00566591402880404	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.2	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.2	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005618013729907484	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.2	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.2	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.2	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.2	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005618013729907484	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.2	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005719407273226389	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.2	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005620748180896036	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.2	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.2	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.2	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.2	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005631689266782871	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.2	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005738640529113627	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.2	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005623482960038659	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.2	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.2	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.2	0.05	0.04	0	0.0	30.800000000000168	0.0	0.0014263645155931479	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + NGAM (MAX)	0.2	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005646741837526186	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.25	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.25	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005600247794511048	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.25	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.25	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.25	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.25	0.05	0.0	1	NaN	99.9999999999986	1.0	0.005600247794511048	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.25	0.05	0.02	1	NaN	99.9999999999986	1.0	0.0057207805414989195	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.25	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005602980113459475	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.25	0.05	0.02	0	0.0	13.899999999999967	0.0	0.0006595466555451526	0.0	0.0	NaN	0.0	0.0	NaN	dead (regulation)
NADHProduction (MIN) + ATPProduction (MIN)	0.25	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.25	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.25	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005613912668626527	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.25	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005740014951416303	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.25	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0056057127603060105	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.25	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.25	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.25	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.25	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005628953502942808	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.3	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.3	0.05	0.0	1	NaN	99.9999999999986	1.0	0.0055838607644739515	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.3	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.3	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.3	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.3	0.05	0.0	1	NaN	99.9999999999986	1.0	0.0055838607644739515	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.3	0.05	0.02	1	NaN	99.9999999999986	1.0	0.0057207805414989195	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.3	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005586591116860654	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.3	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.3	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.3	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.3	0.05	0.02	1	NaN	99.9999999999986	1.0	0.00559751580342101	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.3	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005740014951416303	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.3	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005589321796909719	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.3	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.3	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.3	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.3	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005611179037850212	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.35	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.35	0.05	0.0	2	80.69999999999969	99.9999999999986	2.0	0.007238124627409316	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.35	0.05	0.0	2	80.69999999999969	99.9999999999986	2.0	0.007238124627409316	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.35	0.05	0.02	1	NaN	99.9999999999986	1.0	0.0057207805414989195	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.35	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005571578232495337	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.35	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.35	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.35	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.35	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005581130739709384	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.35	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005740014951416303	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.35	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005572942630759292	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.35	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.35	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.35	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.35	0.05	0.04	1	NaN	99.9999999999986	1.0	0.0055947841401503525	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.4	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.4	0.05	0.0	2	79.59999999999975	99.9999999999986	2.0	0.007199312365670469	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.4	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.4	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.4	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.4	0.05	0.0	2	79.59999999999975	99.9999999999986	2.0	0.007199312365670469	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.4	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005719407273226389	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.4	0.05	0.02	2	79.79999999999974	99.9999999999986	2.0	0.007205614824154607	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.4	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.4	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.4	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.4	0.05	0.02	2	80.4999999999997	99.9999999999986	2.0	0.007231818267982622	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.4	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005740014951416303	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.4	0.05	0.04	2	79.99999999999973	99.9999999999986	2.0	0.00721329716985337	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.4	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.4	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.4	0.05	0.04	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.4	0.05	0.04	1	NaN	99.9999999999986	1.0	0.005579765850173401	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.45	0.05	0.0	1	NaN	99.9999999999986	1.0	0.00570156228170217	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.45	0.05	0.0	2	78.59999999999981	99.9999999999986	2.0	0.007162300350325682	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.45	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MIN)	0.45	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + ATPProduction (MAX)	0.45	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + NGAM (MAX)	0.45	0.05	0.0	2	78.59999999999981	99.9999999999986	2.0	0.007162300350325682	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN)	0.45	0.05	0.02	1	NaN	99.9999999999986	1.0	0.005719407273226389	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + growth (MAX)	0.45	0.05	0.02	2	78.6999999999998	99.9999999999986	2.0	0.007166826989121186	0.0	0.0	NaN	0.0	0.0	NaN	alive
NADHProduction (MIN) + glucoseUptake (MIN)	0.45	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
